batch_no	order_sequence	order_id	dispatch_unix_time	send_unix_time	distance	station_id	sendLatitude	sendLongitude	arrive_time	shipping_type	expect_arrival_time	audit_time	audit_unix_time	expect_arrival_unix_time	arrive_unix_time
9065	1	1309757818690	1583754391250	1583754877242	1839	100012	39.925691	116.43720800000001	2020-03-09 21:38:14	1	2020-03-09 20:15:16	2020-03-09 19:37:16	1583753836000	1583756116000	1583761094000
3815	1	1309759997738	1583754391250	1583755017242	2815	100012	39.9234545	116.4453759	2020-03-09 20:19:48	1	2020-03-09 20:21:01	2020-03-09 19:43:01	1583754181000	1583756461000	1583756388000
133	1	1309760621713	1583754631495	1583755034483	1257	100012	39.9322187	116.4256897	2020-03-09 20:05:32	1	2020-03-09 20:22:03	2020-03-09 19:44:03	1583754243000	1583756523000	1583755532000
1695	1	1309728680116	1583754631495	1583755231483	2632	100012	39.915081	116.439973	2020-03-09 20:22:33	3	2020-03-09 20:35:28	2020-03-09 18:35:15	1583750115000	1583757328000	1583756553000
9023	1	1309757818690	1583754631495	1583755117483	1839	100012	39.925691	116.43720800000001	2020-03-09 21:38:14	1	2020-03-09 20:15:16	2020-03-09 19:37:16	1583753836000	1583756116000	1583761094000
8716	1	1309775920187	1583756369850	1583756868848	1927	100012	39.929136	116.436935	2020-03-09 20:50:44	1	2020-03-09 20:54:40	2020-03-09 20:16:40	1583756200000	1583758480000	1583758244000
0787	1	1309776647707	1583757146035	1583757855033	3399	100012	39.946506	116.42211999999999	2020-03-09 20:56:24	1	2020-03-09 20:58:02	2020-03-09 20:20:02	1583756402000	1583758682000	1583758584000
7446	1	1309778000174	1583757146035	1583757561033	1341	100012	39.916115399999995	116.420942	2020-03-09 20:53:20	1	2020-03-09 21:00:19	2020-03-09 20:22:19	1583756539000	1583758819000	1583758400000
8863	1	1309786570688	1583757749525	1583758228523	1787	100012	39.916837	116.432767	2020-03-09 21:08:56	1	2020-03-09 21:19:28	2020-03-09 20:41:28	1583757688000	1583759968000	1583759336000
44132756	1	1309778360144	1583757749525	1583758394523	2949	100012	39.930716700000005	116.4452682	2020-03-09 21:08:07	1	2020-03-09 21:09:58	2020-03-09 20:31:58	1583757118000	1583759398000	1583759287000
44132756	2	1309785531713	1583757749525	1583758807523	1324	100012	39.9390687	116.4473264	2020-03-09 21:17:14	1	2020-03-09 21:17:20	2020-03-09 20:39:20	1583757560000	1583759840000	1583759834000
44132756	3	1309785790127	1583757749525	1583759149523	826	100012	39.9353295	116.44242050000001	2020-03-09 21:13:28	1	2020-03-09 21:17:57	2020-03-09 20:39:57	1583757597000	1583759877000	1583759608000
4413278	1	1309778360144	1583758225640	1583758870638	2949	100012	39.930716700000005	116.4452682	2020-03-09 21:08:07	1	2020-03-09 21:09:58	2020-03-09 20:31:58	1583757118000	1583759398000	1583759287000
4413278	2	1309785531713	1583758225640	1583759283638	1324	100012	39.9390687	116.4473264	2020-03-09 21:17:14	1	2020-03-09 21:17:20	2020-03-09 20:39:20	1583757560000	1583759840000	1583759834000
4413278	3	1309785790127	1583758225640	1583759625638	826	100012	39.9353295	116.44242050000001	2020-03-09 21:13:28	1	2020-03-09 21:17:57	2020-03-09 20:39:57	1583757597000	1583759877000	1583759608000
44132728	1	1309778360144	1583758465870	1583759110866	2949	100012	39.930716700000005	116.4452682	2020-03-09 21:08:07	1	2020-03-09 21:09:58	2020-03-09 20:31:58	1583757118000	1583759398000	1583759287000
44132728	2	1309785531713	1583758465870	1583759523866	1324	100012	39.9390687	116.4473264	2020-03-09 21:17:14	1	2020-03-09 21:17:20	2020-03-09 20:39:20	1583757560000	1583759840000	1583759834000
44132728	3	1309785790127	1583758465870	1583759865866	826	100012	39.9353295	116.44242050000001	2020-03-09 21:13:28	1	2020-03-09 21:17:57	2020-03-09 20:39:57	1583757597000	1583759877000	1583759608000
8836	1	1309792950688	1583759125605	1583759746603	2784	100012	39.937886999999996	116.43758999999999	2020-03-09 21:39:33	1	2020-03-09 21:35:35	2020-03-09 20:57:35	1583758655000	1583760935000	1583761173000
1374	1	1309790861713	1583759125605	1583759868603	3635	100012	39.9277552	116.4520284	2020-03-09 21:28:39	1	2020-03-09 21:30:21	2020-03-09 20:52:21	1583758341000	1583760621000	1583760519000
8851	1	1309786570688	1583757989390	1583758468388	1787	100012	39.916837	116.432767	2020-03-09 21:08:56	1	2020-03-09 21:19:28	2020-03-09 20:41:28	1583757688000	1583759968000	1583759336000
44132746	1	1309778360144	1583758047685	1583758692682	2949	100012	39.930716700000005	116.4452682	2020-03-09 21:08:07	1	2020-03-09 21:09:58	2020-03-09 20:31:58	1583757118000	1583759398000	1583759287000
44132746	2	1309785531713	1583758047685	1583759105682	1324	100012	39.9390687	116.4473264	2020-03-09 21:17:14	1	2020-03-09 21:17:20	2020-03-09 20:39:20	1583757560000	1583759840000	1583759834000
44132746	3	1309785790127	1583758047685	1583759447682	826	100012	39.9353295	116.44242050000001	2020-03-09 21:13:28	1	2020-03-09 21:17:57	2020-03-09 20:39:57	1583757597000	1583759877000	1583759608000
8890	1	1309792950688	1583759006080	1583759627077	2784	100012	39.937886999999996	116.43758999999999	2020-03-09 21:39:33	1	2020-03-09 21:35:35	2020-03-09 20:57:35	1583758655000	1583760935000	1583761173000
1358	1	1309790861713	1583759006080	1583759749077	3635	100012	39.9277552	116.4520284	2020-03-09 21:28:39	1	2020-03-09 21:30:21	2020-03-09 20:52:21	1583758341000	1583760621000	1583760519000
